Year,Berkeley Earth (degC),Berkeley Earth uncertainty
1850,-0.24,0.642
1851,-0.13,0.663
1852,-0.10,0.632
1853,-0.10,0.572
1854,-0.10,0.621
1855,-0.09,0.571
1856,-0.20,0.580
1857,-0.34,0.528
1858,-0.14,0.532
1859,-0.02,0.516
1860,-0.18,0.522
1861,-0.25,0.525
1862,-0.35,0.585
1863,-0.11,0.592
1864,-0.14,0.593
1865,-0.04,0.553
1866,-0.00,0.563
1867,0.04,0.578
1868,-0.01,0.512
1869,-0.01,0.515
1870,-0.08,0.448
1871,-0.11,0.428
1872,-0.08,0.450
1873,-0.04,0.411
1874,-0.09,0.408
1875,-0.13,0.390
1876,-0.14,0.389
1877,0.24,0.364
1878,0.32,0.387
1879,-0.02,0.367
1880,-0.10,0.367
1881,0.02,0.355
1882,-0.03,0.342
1883,-0.09,0.330
1884,-0.26,0.319
1885,-0.22,0.315
1886,-0.25,0.317
1887,-0.28,0.308
1888,-0.08,0.318
1889,0.05,0.295
1890,-0.24,0.302
1891,-0.12,0.296
1892,-0.18,0.295
1893,-0.16,0.287
1894,-0.14,0.288
1895,-0.08,0.285
1896,0.01,0.300
1897,0.03,0.304
1898,-0.17,0.298
1899,-0.01,0.280
1900,0.10,0.281
1901,0.02,0.274
1902,-0.13,0.281
1903,-0.23,0.272
1904,-0.29,0.266
1905,-0.11,0.268
1906,-0.02,0.274
1907,-0.20,0.268
1908,-0.22,0.252
1909,-0.29,0.252
1910,-0.24,0.255
1911,-0.26,0.248
1912,-0.19,0.252
1913,-0.16,0.236
1914,0.03,0.242
1915,0.08,0.249
1916,-0.16,0.249
1917,-0.31,0.259
1918,-0.14,0.260
1919,-0.07,0.266
1920,-0.02,0.258
1921,0.04,0.252
1922,-0.05,0.246
1923,-0.01,0.243
1924,-0.02,0.247
1925,0.02,0.247
1926,0.16,0.243
1927,0.04,0.242
1928,0.05,0.245
1929,-0.13,0.243
1930,0.10,0.248
1931,0.16,0.244
1932,0.12,0.241
1933,-0.08,0.243
1934,0.07,0.238
1935,0.01,0.238
1936,0.08,0.234
1937,0.24,0.236
1938,0.24,0.236
1939,0.22,0.246
1940,0.30,0.258
1941,0.26,0.414
1942,0.27,0.417
1943,0.32,0.415
1944,0.43,0.414
1945,0.30,0.415
1946,0.15,0.309
1947,0.22,0.299
1948,0.13,0.284
1949,0.12,0.250
1950,0.05,0.214
1951,0.24,0.192
1952,0.31,0.219
1953,0.38,0.223
1954,0.19,0.203
1955,0.13,0.183
1956,0.05,0.151
1957,0.28,0.162
1958,0.28,0.148
1959,0.27,0.142
1960,0.21,0.131
1961,0.28,0.121
1962,0.23,0.129
1963,0.27,0.125
1964,0.01,0.123
1965,0.13,0.132
1966,0.19,0.119
1967,0.22,0.107
1968,0.14,0.109
1969,0.29,0.103
1970,0.24,0.086
1971,0.12,0.090
1972,0.23,0.100
1973,0.37,0.092
1974,0.17,0.102
1975,0.23,0.098
1976,0.13,0.113
1977,0.46,0.092
1978,0.34,0.086
1979,0.41,0.080
1980,0.54,0.093
1981,0.59,0.091
1982,0.37,0.095
1983,0.55,0.093
1984,0.39,0.115
1985,0.38,0.098
1986,0.44,0.087
1987,0.58,0.080
1988,0.62,0.086
1989,0.50,0.093
1990,0.69,0.093
1991,0.68,0.094
1992,0.47,0.110
1993,0.53,0.090
1994,0.58,0.087
1995,0.74,0.083
1996,0.63,0.083
1997,0.77,0.082
1998,0.92,0.081
1999,0.67,0.081
2000,0.68,0.078
2001,0.81,0.080
2002,0.90,0.078
2003,0.89,0.077
2004,0.80,0.080
2005,0.96,0.079
2006,0.91,0.078
2007,0.93,0.072
2008,0.80,0.077
2009,0.93,0.076
2010,1.00,0.076
2011,0.89,0.083
2012,0.91,0.093
2013,0.93,0.085
2014,1.01,0.087
2015,1.15,0.076
2016,1.29,0.076
2017,1.19,0.078
2018,1.12,0.079
2019,1.25,0.075
2020,1.28,0.076
2021,1.12,0.078
2022,1.17,0.078
2023,1.46,0.083
2024,1.57,0.107
