nature.com	Copernicus,tcr,ecs,model,resolution,Europe-accuracy
TRUE,TRUE,1.96237431008882,4.66423746159983,ACCESS-CM2,250.0,
TRUE,FALSE,1.97071551869297,3.87941721761878,ACCESS-ESM1-5,250.0,
TRUE,TRUE,2.03181034142336,3.15952709633494,AWI-CM-1-1-MR,100.0,
TRUE,TRUE,1.54689164166636,3.01866580692135,BCC-CSM2-MR,100.0,
TRUE,FALSE,1.7356036784797,3.25594047394621,BCC-ESM1,,
TRUE,TRUE,1.7280042571703,2.29162497886772,CAMS-CSM1-0,100.0,
0,FALSE,,,CAS-ESM2-0,100.0,
TRUE,2020,2.00397109598778,5.14625989937498,CESM2,100.0,
TRUE,FALSE,1.98801105797646,5.14955246770554,CESM2-FV2,,
TRUE,FALSE,1.91474622206285,4.68175882115753,CESM2-WACCM,100.0,
TRUE,FALSE,2.03672665929868,4.78362168134481,CESM2-WACCM-FV2,,
TRUE,2020,2.24969205466014,5.6326812743827,CIESM,100.0,
TRUE,2020,2.14218747602709,3.5563986784072,CMCC-CM2-SR5,100.0,
TRUE,2020,1.92301640165403,3.57705277493486,CMCC-ESM2,100.0,1
TRUE,TRUE,2.2180252636636,4.90118387440183,CNRM-CM6-1,250.0,
TRUE,TRUE,2.46104899267737,4.33530926672786,CNRM-CM6-1-HR,50.0,1
TRUE,TRUE,1.83320288502787,4.78846971901975,CNRM-ESM2-1,250.0,
TRUE,FALSE,2.71181275132685,5.63687346841635,CanESM5,500.0,
FALSE,FALSE,,,CanESM5-1,500.0,
TRUE,TRUE,2.71181275132685,5.63687346841635,CanESM5-CanOE,500.0,
TRUE,FALSE,2.90441713150336,5.30691913372965,E3SM-1-0,,
TRUE,FALSE,2.90441713150336,5.30691913372965,E3SM-1-1,,
TRUE,FALSE,2.3,4.26,EC-Earth3,100.0,1
TRUE,FALSE,2.13192523014106,3.86686548886289,EC-Earth3-AerChem,,
TRUE,FALSE,2.63164272959558,4.22928208949297,EC-Earth3-CC,,
TRUE,FALSE,2.65642223119099,4.32919491013111,EC-Earth3-Veg,100.0,
0,FALSE,,,EC-Earth3-Veg-LR,100.0,
TRUE,TRUE,1.94,3.0,FGOALS-f3-L,100.0,
TRUE,TRUE,1.50335498202165,2.87024724043909,FGOALS-g3,250.0,
0,TRUE,2.22,,FIO-ESM-2-0,100.0,
TRUE,FALSE,2.00118626320137,3.89023832079735,GFDL-CM4,,
TRUE,TRUE,1.63007205227179,2.64927914486707,GFDL-ESM4,100.0,1
TRUE,FALSE,1.80306372601963,2.63508483779612,GISS-E2-1-G,250.0,
FALSE,FALSE,,,GISS-E2-1-G-CC,250.0,
TRUE,FALSE,1.86662327309451,3.11734107869262,GISS-E2-1-H,250.0,
TRUE,FALSE,1.71300071940618,2.42638863661881,GISS-E2-2-G,250.0,
TRUE,TRUE,2.49021627026651,5.54538689367371,HadGEM3-GC31-LL,250.0,
TRUE,FALSE,2.59690460848021,5.43326812374111,HadGEM3-GC31-MM,100.0,
TRUE,TRUE,1.6562409883415,2.36710596624517,IITM-ESM,250.0,
TRUE,TRUE,1.29919935237812,1.82759231354607,INM-CM4-8,100.0,
TRUE,TRUE,1.41020129152189,1.91687059169862,INM-CM5-0,100.0,
TRUE,FALSE,1.92923300676437,3.8105280703048,IPSL-CM5A2-INCA,500.0,
TRUE,TRUE,2.34884316771333,4.69654557702714,IPSL-CM6A-LR,250.0,
TRUE,TRUE,2.04,4.75,KACE-1-0-G,250.0,
TRUE,FALSE,,3.36,KIOST-ESM,250.0,
TRUE,TRUE,1.9,3.76,MCM-UA-1-0,250.0,
TRUE,FALSE,,2.6,MIROC-ES2H,250.0,
TRUE,TRUE,1.48949697950037,2.66000115835858,MIROC-ES2L,500.0,
TRUE,TRUE,1.54890551071462,2.60102438937587,MIROC6,250.0,
TRUE,FALSE,1.76374272632718,2.95296975048919,MPI-ESM-1-2-HAM,,
TRUE,FALSE,1.63765082906143,2.97960790429738,MPI-ESM1-2-HR,100.0,1
TRUE,TRUE,1.82089150915889,3.02401668927908,MPI-ESM1-2-LR,250.0,
TRUE,TRUE,1.66674545828998,3.13325658907158,MRI-ESM2-0,100.0,1
TRUE,TRUE,2.72,4.72,NESM3,250.0,
TRUE,FALSE,1.45,3.05,NorCPM1,,
TRUE,TRUE,1.49095072521094,2.56047596791197,NorESM2-LM,250.0,
TRUE,TRUE,1.22383801565167,2.48641798791927,NorESM2-MM,100.0,
TRUE,FALSE,2.22200918150791,3.72467804328541,SAM0-UNICON,,
TRUE,TRUE,2.26985369949823,4.35686160026342,TaiESM1,100.0,1
TRUE,TRUE,2.7691887888637,5.35836033315708,UKESM1-0-LL,250.0,
FALSE,FALSE,,,UKESM1-1-LL,250.0,
